employee_id,evaluation_date,overall_score,productivity_score,quality_score,team_collaboration_score,goals_achieved,training_hours,attendance_rate,leadership_score,innovation_score,customer_satisfaction,retention_risk
EMP001,2023-01-31,4.8,4.9,4.8,4.7,95,40,98,4.9,4.6,4.7,Low
EMP002,2023-01-31,4.7,4.8,4.7,4.6,90,35,97,4.8,4.8,4.5,Low
EMP003,2023-01-31,4.6,4.7,4.6,4.5,92,30,96,4.7,4.5,4.8,Low
EMP004,2023-01-31,4.7,4.8,4.6,4.7,94,32,98,4.8,4.4,4.9,Low
EMP005,2023-01-31,4.5,4.6,4.5,4.4,90,28,97,4.6,4.3,4.5,Low
EMP006,2023-01-31,4.4,4.5,4.6,4.2,88,25,96,4.3,4.7,4.2,Low
EMP007,2023-01-31,4.3,4.4,4.5,4.1,85,20,95,4.2,4.5,4.0,Medium
EMP008,2023-01-31,4.5,4.6,4.4,4.4,87,22,96,4.1,4.6,4.6,Low
EMP009,2023-01-31,4.6,4.7,4.5,4.5,89,24,97,4.4,4.3,4.8,Low
EMP010,2023-01-31,4.2,4.3,4.2,4.1,82,18,95,4.0,4.1,4.0,Medium
EMP011,2023-01-31,4.1,4.3,4.2,3.9,80,15,94,3.7,4.5,3.8,Medium
EMP012,2023-01-31,4.0,4.1,4.2,3.8,78,12,93,3.6,4.3,3.7,Medium
EMP013,2023-01-31,3.9,4.0,4.1,3.7,75,10,92,3.5,4.0,3.6,Medium
EMP014,2023-01-31,4.1,4.2,4.0,4.0,80,12,94,3.8,4.4,4.2,Medium
EMP015,2023-01-31,4.3,4.5,4.2,4.1,85,8,95,3.9,4.1,4.6,Low
