sender_id,receiver_id,timestamp,channel,message_count,duration_minutes,sentiment_score,topic
1,2,2023-01-01 09:00:00,email,1,3,0.5,strategic_planning
1,3,2023-01-01 09:15:00,email,1,2,0.4,quarterly_goals
1,4,2023-01-01 09:30:00,email,1,3,0.3,budget_review
1,5,2023-01-01 09:45:00,email,1,2,0.6,hr_policies
2,6,2023-01-01 10:00:00,chat,3,5,0.7,project_status
2,7,2023-01-01 10:30:00,chat,2,4,0.2,codebase_issues
2,8,2023-01-01 11:00:00,meeting,1,30,0.5,qa_planning
3,9,2023-01-01 11:00:00,email,1,3,0.8,sales_targets
3,10,2023-01-01 11:15:00,email,1,2,0.7,market_expansion
3,11,2023-01-01 11:30:00,email,1,3,0.6,client_feedback
4,12,2023-01-01 11:30:00,meeting,1,45,0.5,financial_review
4,13,2023-01-01 13:00:00,email,1,5,0.4,budget_forecast
5,14,2023-01-01 13:00:00,meeting,1,30,0.9,recruitment_plans
5,15,2023-01-01 14:00:00,email,1,3,0.8,employee_relations
6,16,2023-01-01 14:00:00,chat,5,10,0.6,code_review
6,17,2023-01-01 14:30:00,chat,3,6,0.7,feature_development
6,18,2023-01-01 15:00:00,chat,4,8,0.3,bug_fixes
6,19,2023-01-01 15:30:00,meeting,1,30,0.5,sprint_planning
7,20,2023-01-01 14:00:00,chat,3,7,0.6,architecture_review
7,21,2023-01-01 14:30:00,chat,2,5,0.7,deployment_issues
7,22,2023-01-01 15:00:00,chat,2,4,0.4,onboarding
7,23,2023-01-01 15:30:00,meeting,1,30,0.6,team_planning
8,24,2023-01-01 14:00:00,meeting,1,45,0.5,test_coverage
8,25,2023-01-01 15:00:00,chat,3,6,0.4,test_automation
8,26,2023-01-01 15:30:00,chat,2,4,0.3,bug_reports
9,27,2023-01-01 14:00:00,meeting,1,60,0.8,client_opportunities
9,28,2023-01-01 15:30:00,chat,2,5,0.7,sales_pipeline
9,29,2023-01-01 16:00:00,chat,3,7,0.6,lead_generation
9,30,2023-01-01 16:30:00,email,1,3,0.5,training_materials
10,31,2023-01-01 14:00:00,meeting,1,60,0.8,quarterly_review
10,32,2023-01-01 15:30:00,chat,2,5,0.7,account_planning
10,33,2023-01-01 16:00:00,chat,2,6,0.5,customer_feedback
10,34,2023-01-01 16:30:00,email,1,3,0.4,sales_training
11,35,2023-01-01 14:00:00,meeting,1,60,0.7,market_opportunities
11,36,2023-01-01 15:30:00,chat,2,5,0.6,regional_strategy
11,37,2023-01-01 16:00:00,chat,2,4,0.5,competitive_analysis
11,38,2023-01-01 16:30:00,email,1,3,0.4,onboarding_materials
12,39,2023-01-02 09:00:00,meeting,1,30,0.5,monthly_closing
12,40,2023-01-02 09:45:00,email,1,3,0.4,accounting_procedures
12,41,2023-01-02 10:00:00,chat,2,5,0.3,invoice_processing
13,42,2023-01-02 09:00:00,meeting,1,45,0.6,financial_modeling
13,43,2023-01-02 10:00:00,chat,3,8,0.5,data_analysis
13,44,2023-01-02 10:30:00,chat,2,5,0.4,report_preparation
14,45,2023-01-02 09:00:00,meeting,1,60,0.8,recruitment_strategy
14,46,2023-01-02 10:30:00,chat,3,8,0.7,candidate_pipeline
14,47,2023-01-02 11:00:00,email,1,3,0.6,interview_scheduling
15,48,2023-01-02 09:00:00,meeting,1,45,0.7,employee_engagement
